BIN,Address,Borough,Management Company,Owner Name,Loss of Service % (30d),Recent Complaints (30d),AI Headline
2118405,1334 WILKINS AVENUE,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.28%,1,Persistent Elevator Failures at 1334 Wilkins Avenue Demand Urgent Remediation
2005371,917 WESTCHESTER AVENUE,Bronx,"TLK MANOR HOUSING DEVELOPMENT FUND COMPA NY, INC.","TLK MANOR HOUSING DEVELOPMENT FUND COMPA NY, INC.",0.00%,0,Proactive Monitoring and Maintenance for Elevator Reliability at 917 Westchester Avenue
2093921,305 EAST 153 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,"Chronic Elevator Malfunctions Persist at 305 EAST 153 STREET, Requiring Proactive Intervention"
2129068,706 COURTLANDT AVENUE,Bronx,706 COURTLANDT AVENUE LLC,706 COURTLANDT AVENUE LLC,0.00%,0,Proactive Elevator Maintenance Strategy for 706 Courtlandt Avenue
2005097,686 BECK STREET,Bronx,BECK ST. LLC,BECK ST. LLC,0.00%,0,Executive Summary: Persistent Elevator Malfunctions at 686 BECK STREET Necessitate Proactive Intervention
2120266,1157 INTERVALE AVENUE,Bronx,INTERVALE GARDENS LLC,INTERVALE GARDENS LLC,0.00%,0,Elevator System at 1157 INTERVALE AVENUE Requires Urgent Intervention Amidst Persistent Failures
2091950,890 TRINITY AVENUE,Bronx,WOODSTOCK TERRACE MUTUAL HOUSING,WOODSTOCK TERRACE MUTUAL HOUSING,0.00%,0,Urgent Action Required: Recurring Elevator Malfunctions and Safety Concerns at 890 TRINITY AVENUE
2005463,945 EAST 163 STREET,Bronx,EAST 163RD,EAST 163RD,0.00%,0,Persistent Elevator Malfunctions at 945 East 163 Street Necessitate Urgent Intervention
2117696,800 ST ANNS AVENUE,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Urgent Intervention Required: Critical Elevator Malfunctions and Systemic Reliability Concerns at 800 ST ANNS AVENUE
2004388,970 BOSTON ROAD,Bronx,ALBERT GOODMAN HOUSING DEVELOPMENT FUND CORP.,ALBERT GOODMAN HOUSING DEVELOPMENT FUND CORP.,0.00%,0,Critical Elevator Failures at 970 Boston Road Demand Immediate Intervention
2117693,601 EAST 156 STREET,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Elevator Service Crisis at 601 EAST 156 STREET: Urgent Action Required to Address Chronic Malfunctions and Tenant Frustration
2010271,1490 BOSTON ROAD,Bronx,SENIOR LIVING OPTIONS INC,SENIOR LIVING OPTIONS INC,0.28%,1,Critical Elevator Service Failure at 1490 Boston Road Requires Immediate Intervention
2097215,1316 BOSTON ROAD,Bronx,JHB II HOUSING DEVELOPMENT FUND CORPORAT ION,JHB II HOUSING DEVELOPMENT FUND CORPORAT ION,0.00%,0,Critical Elevator Service Failure at 1316 Boston Road Demands Immediate Intervention
2000968,225 EAST 149 STREET,Bronx,"HP MICHELANGELO HOUSING COMPANY, INC.","HP MICHELANGELO HOUSING COMPANY, INC.",0.00%,0,Urgent Intervention Required for Chronic Elevator Malfunctions at 225 EAST 149 STREET
2113109,1100 FRANKLIN AVENUE,Bronx,FRANKLIN AVE ESTATES LLC,FRANKLIN AVE ESTATES LLC,0.00%,0,Executive Summary: Persistent Elevator Malfunctions at 1100 Franklin Avenue Require Urgent Intervention
2124699,1115 INTERVALE AVENUE,Bronx,"1115 INTERVALE HOUSING DEVELOPMENT FUND  CO., INC.","1115 INTERVALE HOUSING DEVELOPMENT FUND  CO., INC.",0.00%,0,Urgent Action Required: Chronic Elevator Malfunctions at 1115 Intervale Avenue Exacerbate Tenant Frustration
2010934,1690 LONGFELLOW AVENUE,Bronx,LONGFELLOW AVENUE HOUSING DEVELOPMENT FU ND COMPANY,LONGFELLOW AVENUE HOUSING DEVELOPMENT FU ND COMPANY,0.00%,0,Chronic Elevator Malfunctions and Tenant Frustration at 1690 Longfellow Avenue Necessitate Proactive Intervention
2117805,390 EAST 158 STREET,Bronx,"EL JARDIN DE SELINE HDFC, INC.","EL JARDIN DE SELINE HDFC, INC.",0.00%,0,Elevator System at 390 EAST 158 STREET Poses High Risk and Requires Urgent Intervention
2027476,1349 STRATFORD AVENUE,Bronx,PATBRU REALTY CO LLC,PATBRU REALTY CO LLC,0.00%,0,Elevator System at 1349 STRATFORD AVENUE: Critical Malfunction and Compliance Risk
2091982,747 EAST 168 STREET,Bronx,PARROCKS ASSOCIATES,PARROCKS ASSOCIATES,0.00%,0,"Elevator Systems at 747 EAST 168 STREET Exhibit Chronic Failure and High Risk, Demanding Immediate Intervention"
2128714,899 WESTCHESTER AVENUE,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Elevator System at 899 Westchester Avenue Poses High Risk with Chronic Failures and Deep Tenant Frustration
2005095,676 BECK STREET,Bronx,BECK ST. LLC,BECK ST. LLC,0.00%,0,Elevator System at 676 BECK STREET: Persistent Failures Demand Comprehensive Intervention
2004300,1250 FRANKLIN AVENUE,Bronx,MCK FRANKLIN LLC,MCK FRANKLIN LLC,0.00%,0,Executive Summary: Urgent Need for Proactive Elevator Performance Monitoring at 1250 Franklin Avenue
2025355,1210 STRATFORD AVENUE,Bronx,1210 STRATFORD LLC,1210 STRATFORD LLC,0.00%,0,Chronic Elevator Reliability Concerns at 1210 Stratford Avenue Require Urgent Intervention
2005291,865 EAST 167 STREET,Bronx,S. BX CATCH MUTUAL HSNG/ASSOC/HSNG/DEV/F UND/CORP.,S. BX CATCH MUTUAL HSNG/ASSOC/HSNG/DEV/F UND/CORP.,0.00%,0,Critical Elevator Malfunctions Plague 865 EAST 167 STREET: Urgent Intervention Required
2116648,507 EAST 161 STREET,Bronx,NYC PARTNERSHIP HOUSING DEVELOPMENT FUND,NYC PARTNERSHIP HOUSING DEVELOPMENT FUND,0.00%,0,Critical Elevator Malfunctions and High Tenant Frustration at 507 EAST 161 STREET Demand Immediate Systemic Intervention
2092007,955 EAST 163 STREET,Bronx,ANDREWS/KELLY HOUSING DEV. FUND CORPORAT ION,ANDREWS/KELLY HOUSING DEV. FUND CORPORAT ION,0.00%,0,Urgent Action Required: Persistent Elevator Malfunctions at 955 EAST 163 STREET Demand Comprehensive Intervention
2117694,756 SAINT ANNS AVENUE,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Critical Deterioration of Elevator Reliability at 756 SAINT ANNS AVENUE Demands Immediate Intervention
2117692,759 EAGLE AVENUE,Bronx,PARTNERSHIP ST. ANN'S AFFORDABLE HOUSING  DEV. FUND,PARTNERSHIP ST. ANN'S AFFORDABLE HOUSING  DEV. FUND,0.00%,0,Elevator System at 759 Eagle Avenue Requires Urgent Intervention Due to Chronic Malfunctions and Active Complaint
2116647,505 EAST 161 STREET,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Critical Elevator System Failure Risk at 505 East 161 Street Due to Chronic Malfunctions
2006214,1032 ALDUS STREET,Bronx,ALDUS GREEN CORP,ALDUS GREEN CORP,0.00%,0,Chronic Elevator Malfunctions at 1032 ALDUS STREET Demand Immediate Comprehensive Intervention
2128690,1060 REV JAMES A POLITE AVENUE,Bronx,LYNNS PLACE HOUSING DEVELOPMENT FUND COM PANY INC,LYNNS PLACE HOUSING DEVELOPMENT FUND COM PANY INC,0.00%,0,Elevator Performance Report for 1060 REV JAMES A POLITE AVENUE: High Risk Due to Persistent Outages
2128360,1000 FOX STREET,Bronx,PRC WESTCHESTER AVENUE LLC,PRC WESTCHESTER AVENUE LLC,0.00%,0,Executive Summary: Elevator Status and Proactive Monitoring for 1000 FOX STREET
2025349,1255 STRATFORD AVENUE,Bronx,1255 STRATFORD LLC,1255 STRATFORD LLC,0.28%,1,Chronic Elevator Failures at 1255 Stratford Avenue Demand Immediate Intervention
2091972,750 EAST 166 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,"Executive Summary: 750 EAST 166 STREET Elevator Status - Moderate Risk, Proactive Maintenance Required"
2010201,1413 PROSPECT AVENUE,Bronx,1413 PROSPECT AVENUEREALTY CORP.,1413 PROSPECT AVENUEREALTY CORP.,0.00%,0,Executive Summary: Chronic Elevator Malfunctions at 1413 Prospect Avenue Require Immediate Intervention
2005759,923 SIMPSON STREET,Bronx,PRC SIMPSON STREET LLC,PRC SIMPSON STREET LLC,0.00%,0,Executive Summary: Elevator Status and Recommendations for 923 Simpson Street
2116645,508 EAST 163 STREET,Bronx,"THE DOE FUND, INC","THE DOE FUND, INC",0.00%,0,Elevator Issues Persist at 508 EAST 163 STREET: High Risk Due to Chronic Malfunctions and Safety Concerns
2010672,1700 HOE AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Chronic Elevator Malfunctions at 1700 HOE AVENUE Demand Immediate Comprehensive Intervention
2001897,303 EAST 158 STREET,Bronx,SENIOR LIVING OPTIONS INC,SENIOR LIVING OPTIONS INC,0.00%,0,Executive Summary: Critical Elevator Service Failure at 303 EAST 158 STREET
